t,spot,imp_px,exp_px,batt,grid,soc,expw,pvgen,direct,pvbatt,pvexp,loadw,ev
1788681600,0.06135,0.89,0.1653,0.0,-1491.0,14.4,1534.0,1919.2,773.1,565.7,580.4,1181.0,0.0
1788682500,0.05357,0.88,0.1576,0.0,-1063.0,14.4,1067.0,1919.6,773.3,565.7,580.6,1199.0,0.0
1788683400,0.05312,0.88,0.1571,0.0,-243.0,14.4,238.0,1920.4,773.7,565.7,581.0,1374.0,0.0
1788684300,0.05112,0.88,0.1551,0.0,-380.0,14.4,383.0,1920.6,773.9,565.7,581.0,1172.0,0.0
1788685200,0.04901,0.88,0.153,0.0,-828.0,14.4,857.0,1921.2,774.3,565.7,581.2,754.0,0.0
1788686100,0.03612,0.87,0.1401,0.0,-1424.0,14.4,1391.0,1921.5,774.4,565.7,581.4,705.0,0.0
1788687000,0.0309,0.86,0.1349,0.0,-1745.0,14.4,1688.0,1922.3,774.7,565.7,581.9,523.0,0.0
1788687900,0.02778,0.86,0.1318,0.0,-1761.0,14.4,1725.0,1922.6,774.8,565.7,582.1,582.0,0.0
1788688800,0.02712,0.86,0.1311,0.0,-2013.0,14.4,1947.0,1923.5,775.1,565.7,582.7,863.0,0.0
1788689700,0.02101,0.85,0.125,2498.0,-16.0,17.7,0.0,1923.9,775.2,566.0,582.7,974.0,0.0
1788690600,0.02101,0.85,0.125,2776.0,-8.0,21.1,0.0,1925.3,775.6,566.9,582.8,1434.0,0.0
1788691500,0.02101,0.85,0.125,3197.0,-12.0,24.4,0.0,1926.1,775.9,567.4,582.8,1111.0,0.0
1788692400,0.02089,0.85,0.1249,3323.0,0.0,28.8,29.0,1927.5,776.3,568.4,582.8,812.0,0.0
1788693300,0.01712,0.85,0.1211,3081.0,38.0,33.3,20.0,1928.2,776.4,569.0,582.8,619.0,0.0
1788694200,0.01623,0.85,0.1202,3673.0,-25.0,37.7,0.0,1929.6,776.7,570.1,582.8,537.0,0.0
1788695100,0.01978,0.85,0.1238,3752.0,-38.0,42.2,33.0,1930.3,776.8,570.7,582.8,536.0,0.0
1788696000,0.01612,0.85,0.1201,3558.0,-17.0,46.6,0.0,1931.7,777.0,571.9,582.8,569.0,0.0
1788696900,0.02101,0.85,0.125,3618.0,28.0,51.1,0.0,1932.4,777.2,572.4,582.8,565.0,0.0
1788697800,0.02101,0.85,0.125,187.0,16.0,54.4,0.0,1933.7,777.4,573.5,582.8,519.0,0.0
1788698700,0.02578,0.86,0.1298,3019.0,-35.0,57.7,0.0,1934.0,777.5,573.7,582.8,584.0,0.0
1788699600,0.00911,0.84,0.1131,3393.0,-49.0,61.1,38.0,1935.1,777.7,574.6,582.8,525.0,0.0
1788700500,0.05979,0.89,0.1638,3174.0,0.0,64.4,0.0,1935.6,777.8,575.0,582.8,513.0,0.0
1788701400,0.07113,0.9,0.1751,2935.0,-50.0,67.7,30.0,1936.8,778.0,576.0,582.8,573.0,0.0
1788702300,0.07769,0.91,0.1817,3369.0,600.0,72.2,0.0,1937.1,778.1,576.2,582.8,525.0,0.0
1788703200,0.09125,0.92,0.1952,2446.0,0.0,75.5,26.0,1938.0,778.2,577.0,582.8,465.0,0.0
1788704100,0.08091,0.91,0.1849,4338.0,2904.0,81.1,0.0,1938.4,778.2,577.4,582.8,723.0,0.0
1788705000,0.08313,0.91,0.1871,3872.0,-1201.0,85.5,0.0,1939.1,778.2,578.1,582.8,504.0,0.0
1788705900,0.18794,1.02,0.2919,3119.0,2704.0,90.0,0.0,1939.4,778.2,578.4,582.8,505.0,0.0
1788706800,0.5019,1.33,0.6059,-8675.0,1541.0,86.6,0.0,1939.9,778.4,578.7,582.8,11216.0,10385.429
1788707700,0.27996,1.11,0.384,4108.0,12436.0,91.1,0.0,1940.1,778.4,578.9,582.8,9599.0,8398.279
1788708600,0.7244,1.56,0.8284,-8245.0,1999.0,81.1,0.0,1940.7,778.9,579.0,582.8,11630.0,10517.162
1788709500,1.00025,1.83,1.1043,0.0,17.0,71.1,0.0,1941.0,779.2,579.0,582.8,1134.0,0.0
1788710400,1.21608,2.05,1.3201,-1887.0,26.0,70.0,0.0,1941.4,779.6,579.0,582.8,2833.0,0.0
1788711300,1.13973,1.97,1.2437,-854.0,-8.0,67.7,0.0,1941.6,779.8,579.0,582.8,1344.0,0.0
1788712200,1.2342,2.07,1.3382,-889.0,0.0,67.7,0.0,1941.8,780.0,579.0,582.8,1548.0,0.0
1788713100,1.25798,2.09,1.362,-1024.0,5.0,65.5,0.0,1941.9,780.1,579.0,582.8,1486.0,0.0
1788714000,1.2721,2.1,1.3761,-1350.0,15.0,64.4,50.0,1942.0,780.2,579.0,582.8,1358.0,0.0
1788714900,1.26154,2.09,1.3655,-1403.0,5.0,62.2,31.0,1942.0,780.2,579.0,582.8,1410.0,0.0
1788715800,1.26587,2.1,1.3699,-1474.0,33.0,60.0,0.0,1942.0,780.2,579.0,582.8,1498.0,0.0
1788716700,1.26387,2.1,1.3679,-1624.0,28.0,56.6,0.0,1942.0,780.2,579.0,582.8,1584.0,0.0
1788717600,1.26298,2.09,1.367,-1797.0,-47.0,53.3,36.0,1942.0,780.2,579.0,582.8,1736.0,0.0
1788718500,1.2721,2.1,1.3761,-1682.0,0.0,51.1,0.0,1942.0,780.2,579.0,582.8,1557.0,0.0
1788719400,1.27299,2.1,1.377,-1701.0,30.0,48.8,70.0,1942.0,780.2,579.0,582.8,1616.0,0.0
1788720300,1.26899,2.1,1.373,-1597.0,-21.0,44.4,30.0,1942.0,780.2,579.0,582.8,1464.0,0.0
1788721200,1.25943,2.09,1.3634,-1570.0,-34.0,42.2,0.0,1942.0,780.2,579.0,582.8,1523.0,0.0
1788722100,1.26821,2.1,1.3722,-1599.0,-18.0,40.0,0.0,1942.0,780.2,579.0,582.8,1588.0,0.0
1788723000,1.26598,2.1,1.37,-1531.0,0.0,37.7,0.0,1942.0,780.2,579.0,582.8,1466.0,0.0
1788723900,1.25809,2.09,1.3621,-3136.0,0.0,34.4,0.0,1942.0,780.2,579.0,582.8,3067.0,0.0
1788724800,1.22609,2.06,1.3301,-1178.0,19.0,32.2,22.0,1942.0,780.2,579.0,582.8,1104.0,0.0
1788725700,1.26976,2.1,1.3738,-1344.0,-24.0,30.0,27.0,1942.0,780.2,579.0,582.8,1230.0,0.0
1788726600,1.26198,2.09,1.366,-1427.0,8.0,27.7,0.0,1942.0,780.2,579.0,582.8,1391.0,0.0
1788727500,1.25498,2.09,1.359,-1494.0,16.0,26.6,0.0,1942.0,780.2,579.0,582.8,1461.0,0.0
1788728400,1.23831,2.07,1.3423,-1457.0,-23.0,24.4,0.0,1942.0,780.2,579.0,582.8,1373.0,0.0
1788729300,1.26243,2.09,1.3664,-865.0,-22.0,22.2,27.0,1942.0,780.2,579.0,582.8,838.0,0.0
1788730200,1.23798,2.07,1.342,-760.0,-22.0,21.1,0.0,1942.0,780.2,579.0,582.8,714.0,0.0
1788731100,1.21964,2.05,1.3236,-725.0,16.0,21.1,0.0,1942.0,780.2,579.0,582.8,722.0,0.0
1788732000,1.11206,1.94,1.2161,-720.0,-3.0,20.0,0.0,1942.0,780.2,579.0,582.8,658.0,0.0
1788732900,1.23553,2.07,1.3395,0.0,747.0,20.0,0.0,1942.0,780.2,579.0,582.8,734.0,0.0
1788733800,1.14318,1.97,1.2472,0.0,733.0,20.0,0.0,1942.0,780.2,579.0,582.8,675.0,0.0
1788734700,1.11139,1.94,1.2154,0.0,597.0,20.0,0.0,1942.0,780.2,579.0,582.8,576.0,0.0
1788735600,1.08616,1.92,1.1902,8215.0,9141.0,30.0,0.0,1942.0,780.2,579.0,582.8,609.0,0.0
1788736500,1.16029,1.99,1.2643,0.0,1860.0,30.0,0.0,1942.0,780.2,579.0,582.8,1851.0,0.0
1788737400,1.12006,1.95,1.2241,0.0,1786.0,30.0,0.0,1942.0,780.2,579.0,582.8,1747.0,0.0
1788738300,1.11139,1.94,1.2154,0.0,1787.0,30.0,0.0,1942.0,780.2,579.0,582.8,1787.0,0.0
1788739200,1.10383,1.94,1.2078,3782.0,4449.0,34.4,0.0,1942.0,780.2,579.0,582.8,511.0,0.0
1788740100,1.10483,1.94,1.2088,345.0,1030.0,35.5,0.0,1942.0,780.2,579.0,582.8,622.0,0.0
1788741000,1.11139,1.94,1.2154,0.0,646.0,35.5,0.0,1942.0,780.2,579.0,582.8,611.0,0.0
1788741900,1.1115,1.94,1.2155,0.0,602.0,35.5,0.0,1942.0,780.2,579.0,582.8,575.0,0.0
1788742800,1.11139,1.94,1.2154,0.0,729.0,35.5,0.0,1942.0,780.2,579.0,582.8,693.0,0.0
1788743700,1.1125,1.94,1.2165,0.0,712.0,35.5,0.0,1942.0,780.2,579.0,582.8,664.0,0.0
1788744600,1.11128,1.94,1.2153,0.0,829.0,35.5,0.0,1942.0,780.2,579.0,582.8,770.0,0.0
1788745500,1.10494,1.94,1.2089,0.0,917.0,35.5,0.0,1942.0,780.2,579.0,582.8,872.0,0.0
1788746400,1.10305,1.93,1.2071,0.0,709.0,35.5,0.0,1942.0,780.2,579.0,582.8,672.0,0.0
1788747300,1.11128,1.94,1.2153,0.0,863.0,35.5,0.0,1942.0,780.2,579.0,582.8,832.0,0.0
1788748200,1.1145,1.95,1.2185,0.0,742.0,35.5,0.0,1942.0,780.2,579.0,582.8,694.0,0.0
1788749100,1.14062,1.97,1.2446,0.0,682.0,35.5,0.0,1942.0,780.2,579.0,582.8,642.0,0.0
1788750000,1.20941,2.04,1.3134,0.0,859.0,35.5,0.0,1942.0,780.2,579.0,582.8,807.0,0.0
1788750900,1.19674,2.03,1.3007,0.0,768.0,35.5,0.0,1942.0,780.2,579.0,582.8,746.0,0.0
1788751800,1.23342,2.06,1.3374,288.0,1247.0,35.5,0.0,1942.0,780.2,579.0,582.8,891.0,0.0
1788752700,1.26198,2.09,1.366,287.0,3340.0,35.5,0.0,1942.0,780.2,579.0,582.8,2976.0,0.0
1788753600,1.27476,2.11,1.3788,0.0,606.0,35.5,0.0,1942.0,780.2,579.0,582.8,581.0,0.0
1788754500,1.26332,2.09,1.3673,-417.0,0.0,34.4,26.0,1942.0,780.2,579.0,582.8,515.0,0.0
1788755400,1.3529,2.18,1.4569,-798.0,-31.0,34.4,29.0,1942.0,780.2,579.0,582.8,935.0,0.0
1788756300,1.37312,2.2,1.4771,-880.0,57.0,33.3,0.0,1942.0,780.2,579.0,582.8,1096.0,0.0
1788757200,1.37479,2.21,1.4788,-742.0,38.0,32.2,0.0,1942.1,780.3,579.0,582.8,888.0,0.0
1788758100,1.52227,2.35,1.6263,-726.0,-12.0,31.1,0.0,1942.2,780.4,579.0,582.8,1027.0,0.0
1788759000,1.54906,2.38,1.6531,-706.0,-9.0,30.0,21.0,1942.3,780.5,579.0,582.8,1013.0,0.0
1788759900,1.55717,2.39,1.6612,-400.0,11.0,28.8,0.0,1942.4,780.6,579.0,582.8,978.0,0.0
1788760800,1.50315,2.33,1.6072,-238.0,-4.0,27.7,0.0,1942.6,780.8,579.0,582.8,906.0,0.0
1788761700,1.46237,2.29,1.5664,-412.0,-9.0,27.7,0.0,1942.8,781.0,579.0,582.8,962.0,0.0
1788762600,1.3669,2.2,1.4709,-323.0,0.0,26.6,0.0,1943.0,781.2,579.0,582.8,888.0,0.0
1788763500,1.45436,2.29,1.5584,-378.0,11.0,26.6,63.0,1943.1,781.3,579.0,582.8,1137.0,0.0
1788764400,1.15418,1.99,1.2582,-296.0,21.0,26.6,0.0,1943.4,781.6,579.0,582.8,1111.0,0.0
1788765300,1.36612,2.2,1.4701,0.0,-26.0,26.6,52.0,1943.5,781.7,579.0,582.8,612.0,0.0
1788766200,1.01714,1.85,1.1211,-103.0,11.0,26.6,35.0,1943.7,781.9,579.0,582.8,633.0,0.0
1788767100,0.9409,1.77,1.0449,102.0,-23.0,26.6,0.0,1943.8,782.0,579.0,582.8,641.0,0.0
1788768000,0.84199,1.67,0.946,262.0,0.0,26.6,0.0,1944.1,782.3,579.0,582.8,455.0,0.0
1788768900,0.99069,1.82,1.0947,-235.0,4.0,26.6,0.0,1944.1,782.3,579.0,582.8,651.0,0.0
1788769800,0.84999,1.68,0.954,-206.0,5.0,26.6,0.0,1944.3,782.5,579.0,582.8,649.0,0.0
1788770700,0.70973,1.54,0.8137,-214.0,23.0,26.6,0.0,1944.5,782.6,579.1,582.8,574.0,0.0
1788771600,0.4839,1.32,0.5879,731.0,0.0,26.6,0.0,1944.7,782.8,579.1,582.8,512.0,0.0
1788772500,0.88911,1.72,0.9931,1114.0,-14.0,27.7,0.0,1945.0,782.9,579.3,582.8,583.0,0.0
1788773400,0.77942,1.61,0.8834,1280.0,-10.0,30.0,0.0,1945.7,783.2,579.7,582.8,567.0,0.0
1788774300,0.71918,1.55,0.8232,780.0,24.0,31.1,0.0,1946.0,783.3,579.9,582.8,508.0,0.0
1788775200,0.53791,1.37,0.6419,1212.0,27.0,32.2,0.0,1946.5,783.5,580.2,582.8,605.0,0.0
1788776100,0.70884,1.54,0.8128,378.0,14.0,33.3,75.0,1946.8,783.6,580.4,582.8,592.0,0.0
1788777000,0.48979,1.32,0.5938,790.0,-43.0,33.3,55.0,1947.1,783.8,580.5,582.8,627.0,0.0
1788777900,0.45545,1.29,0.5595,266.0,-8.0,34.4,0.0,1947.3,783.9,580.6,582.8,597.0,0.0
1788778800,0.44178,1.27,0.5458,1081.0,45.0,34.4,0.0,1947.6,784.1,580.7,582.8,409.0,0.0
1788779700,0.50735,1.34,0.6113,748.0,-22.0,35.5,0.0,1948.0,784.3,580.9,582.8,660.0,0.0
1788780600,0.42711,1.26,0.5311,453.0,0.0,37.7,0.0,1948.5,784.5,581.2,582.8,604.0,0.0
1788781500,0.36487,1.2,0.4689,0.0,8.0,37.7,37.0,1948.6,784.6,581.2,582.8,662.0,0.0
1788782400,0.26529,1.1,0.3693,10003.0,9237.0,50.0,0.0,1948.8,784.6,581.4,582.8,506.0,0.0
1788783300,0.29218,1.12,0.3962,10004.0,9025.0,61.1,0.0,1949.2,784.7,581.7,582.8,455.0,0.0
1788784200,0.29474,1.13,0.3987,9998.0,9355.0,73.3,0.0,1949.8,784.7,582.3,582.8,508.0,0.0
1788785100,0.31652,1.15,0.4205,1068.0,-13.0,75.5,0.0,1950.0,784.8,582.4,582.8,440.0,0.0
1788786000,0.35798,1.19,0.462,2130.0,-6.0,77.7,0.0,1950.8,785.0,583.0,582.8,418.0,0.0
1788786900,0.28963,1.12,0.3936,4123.0,2386.0,91.1,0.0,1951.4,785.0,583.6,582.8,630.0,0.0
1788787800,0.44411,1.28,0.5481,2011.0,0.0,91.1,0.0,1952.2,785.1,584.3,582.8,598.0,0.0
1788788700,0.38788,1.22,0.4919,461.0,8.0,91.1,0.0,1952.6,785.2,584.6,582.8,427.0,0.0
1788789600,0.67939,1.51,0.7834,408.0,-4.0,91.1,20.0,1952.9,785.4,584.7,582.8,470.0,0.0
1788790500,0.41077,1.24,0.5148,510.0,8.0,91.1,0.0,1953.1,785.5,584.8,582.8,479.0,0.0
1788791400,0.72518,1.56,0.8292,291.0,-32.0,91.1,0.0,1953.4,785.7,584.9,582.8,417.0,0.0
1788792300,0.94735,1.78,1.0514,0.0,0.0,90.0,0.0,1953.5,785.8,584.9,582.8,474.0,0.0
1788793200,1.10939,1.94,1.2134,-187.0,14.0,90.0,0.0,1953.8,786.0,585.0,582.8,966.0,0.0
1788794100,0.91745,1.75,1.0214,0.0,-20.0,90.0,0.0,1953.9,786.1,585.0,582.8,414.0,0.0
1788795000,1.07816,1.91,1.1822,-177.0,0.0,90.0,41.0,1954.2,786.3,585.1,582.8,483.0,0.0
1788795900,1.18508,2.02,1.2891,0.0,31.0,90.0,0.0,1954.2,786.3,585.1,582.8,407.0,0.0
1788796800,1.327,2.16,1.431,-131.0,-22.0,90.0,28.0,1954.3,786.4,585.1,582.8,367.0,0.0
1788797700,1.34523,2.18,1.4492,-9658.0,-9158.0,77.7,9111.0,1954.4,786.5,585.1,582.8,473.0,0.0
1788798600,1.33333,2.16,1.4373,-6813.0,-6547.0,68.8,6551.0,1954.5,786.6,585.1,582.8,399.0,0.0
1788799500,1.31844,2.15,1.4224,-164.0,-22.0,67.7,0.0,1954.6,786.7,585.1,582.8,403.0,0.0
1788800400,1.32656,2.16,1.4306,-6173.0,-5604.0,60.0,5605.0,1954.7,786.8,585.1,582.8,492.0,0.0
1788801300,1.32455,2.16,1.4285,-5049.0,-4532.0,53.3,4486.0,1954.7,786.8,585.1,582.8,432.0,0.0
1788802200,1.29621,2.13,1.4002,-505.0,7.0,52.2,0.0,1954.7,786.8,585.1,582.8,456.0,0.0
1788803100,1.17674,2.01,1.2807,-560.0,9.0,51.1,0.0,1954.7,786.8,585.1,582.8,520.0,0.0
1788804000,1.13817,1.97,1.2422,-633.0,-12.0,50.0,0.0,1954.7,786.8,585.1,582.8,560.0,0.0
1788804900,1.1863,2.02,1.2903,-915.0,-8.0,48.8,0.0,1954.7,786.8,585.1,582.8,878.0,0.0
1788805800,1.14996,1.98,1.254,-1011.0,0.0,47.7,68.0,1954.7,786.8,585.1,582.8,916.0,0.0
1788806700,1.06816,1.9,1.1722,-1264.0,0.0,45.5,31.0,1954.7,786.8,585.1,582.8,1239.0,0.0
1788807600,1.00025,1.83,1.1043,-1218.0,-16.0,44.4,0.0,1954.7,786.8,585.1,582.8,1157.0,0.0
1788808500,0.60882,1.44,0.7128,-1042.0,-6.0,43.3,0.0,1954.7,786.8,585.1,582.8,998.0,0.0
1788809400,0.16048,0.99,0.2645,-6636.0,0.0,41.1,35.0,1954.7,786.8,585.1,582.8,6492.0,5335.155
1788810300,0.07891,0.91,0.1829,-9992.0,2066.0,27.7,0.0,1954.7,786.8,585.1,582.8,11739.0,10440.162
1788811200,0.07491,0.91,0.1789,-9990.0,1920.0,14.4,0.0,1954.7,786.8,585.1,582.8,11582.0,10440.162
1788812100,0.06513,0.9,0.1691,0.0,6153.0,14.4,0.0,1954.7,786.8,585.1,582.8,6063.0,5096.285
1788813000,0.06002,0.89,0.164,0.0,11652.0,14.4,0.0,1954.7,786.8,585.1,582.8,11550.0,10360.393
1788813900,0.05735,0.89,0.1613,0.0,1340.0,14.4,0.0,1954.7,786.8,585.1,582.8,1280.0,0.0
1788814800,0.05568,0.89,0.1597,0.0,1292.0,14.4,0.0,1954.7,786.8,585.1,582.8,1256.0,0.0
1788815700,0.05146,0.88,0.1555,0.0,717.0,14.4,0.0,1954.7,786.8,585.1,582.8,675.0,0.0
1788816600,0.04246,0.87,0.1465,0.0,718.0,14.4,0.0,1954.7,786.8,585.1,582.8,677.0,0.0
1788817500,0.04223,0.87,0.1462,0.0,668.0,14.4,0.0,1954.7,786.8,585.1,582.8,619.0,0.0
1788818400,0.03734,0.87,0.1413,0.0,729.0,14.4,0.0,1954.7,786.8,585.1,582.8,674.0,0.0
1788819300,0.04108,0.87,0.1451,0.0,661.0,14.4,0.0,1954.7,786.8,585.1,582.8,628.0,0.0
1788820200,0.04064,0.87,0.1446,0.0,667.0,14.4,0.0,1954.7,786.8,585.1,582.8,629.0,0.0
1788821100,0.04019,0.87,0.1442,0.0,747.0,14.4,0.0,1954.7,786.8,585.1,582.8,684.0,0.0
1788822000,0.04019,0.87,0.1442,0.0,701.0,14.4,0.0,1954.7,786.8,585.1,582.8,663.0,0.0
1788822900,0.03885,0.87,0.1429,0.0,852.0,14.4,0.0,1954.7,786.8,585.1,582.8,788.0,0.0
1788823800,0.03483,0.87,0.1388,9684.0,10965.0,25.5,0.0,1954.7,786.8,585.1,582.8,922.0,0.0
1788824700,0.03271,0.86,0.1367,9715.0,10846.0,38.8,0.0,1954.7,786.8,585.1,582.8,812.0,0.0
1788825600,0.03081,0.86,0.1348,9706.0,10842.0,51.1,0.0,1954.7,786.8,585.1,582.8,791.0,0.0
1788826500,0.03338,0.86,0.1374,9704.0,10741.0,63.3,0.0,1954.7,786.8,585.1,582.8,684.0,0.0
1788827400,0.03126,0.86,0.1353,9696.0,10710.0,75.5,0.0,1954.7,786.8,585.1,582.8,669.0,0.0
1788828300,0.0345,0.87,0.1385,9691.0,10710.0,87.7,0.0,1954.7,786.8,585.1,582.8,663.0,0.0
1788829200,0.03048,0.86,0.1345,4093.0,4951.0,91.1,0.0,1954.7,786.8,585.1,582.8,696.0,0.0
1788830100,0.0307,0.86,0.1347,3111.0,4125.0,93.3,0.0,1954.7,786.8,585.1,582.8,913.0,0.0
1788831000,0.03405,0.87,0.1381,0.0,1083.0,98.8,0.0,1954.7,786.8,585.1,582.8,1055.0,0.0
1788831900,0.02936,0.86,0.1334,0.0,1158.0,98.8,0.0,1954.7,786.8,585.1,582.8,1119.0,0.0
1788832800,0.03025,0.86,0.1342,0.0,1093.0,98.8,0.0,1954.7,786.8,585.1,582.8,1053.0,0.0
1788833700,0.0393,0.87,0.1433,0.0,1089.0,98.8,0.0,1954.7,786.8,585.1,582.8,1051.0,0.0
1788834600,0.03963,0.87,0.1436,0.0,1148.0,98.8,0.0,1954.7,786.8,585.1,582.8,1094.0,0.0
1788835500,0.03952,0.87,0.1435,0.0,948.0,98.8,0.0,1954.7,786.8,585.1,582.8,912.0,0.0
1788836400,0.03952,0.87,0.1435,0.0,935.0,98.8,0.0,1954.7,786.8,585.1,582.8,894.0,0.0
1788837300,0.0393,0.87,0.1433,0.0,1078.0,98.8,0.0,1954.7,786.8,585.1,582.8,1060.0,0.0
1788838200,0.04298,0.87,0.147,0.0,1122.0,98.8,0.0,1954.7,786.8,585.1,582.8,1092.0,0.0
1788839100,0.05593,0.89,0.1599,0.0,2557.0,98.8,0.0,1954.7,786.8,585.1,582.8,2500.0,0.0
1788840000,0.06006,0.89,0.1641,0.0,1222.0,98.8,0.0,1954.7,786.8,585.1,582.8,1213.0,0.0
1788840900,0.05984,0.89,0.1638,0.0,899.0,98.8,0.0,1954.7,786.8,585.1,582.8,868.0,0.0
1788841800,0.07513,0.91,0.1791,0.0,1259.0,98.8,0.0,1954.7,786.8,585.1,582.8,1210.0,0.0
1788842700,0.09188,0.92,0.1959,0.0,1044.0,98.8,0.0,1954.7,786.8,585.1,582.8,1057.0,0.0
1788843600,0.39865,1.23,0.5027,0.0,995.0,98.8,0.0,1954.7,786.8,585.1,582.8,1031.0,0.0
1788844500,0.57281,1.4,0.6768,-1100.0,17.0,97.7,49.0,1954.7,786.8,585.1,582.8,1098.0,0.0
1788845400,1.0371,1.87,1.1411,-1008.0,-7.0,95.5,0.0,1954.7,786.8,585.1,582.8,1112.0,0.0
1788846300,1.06043,1.89,1.1644,-954.0,5.0,94.4,0.0,1954.7,786.8,585.1,582.8,1060.0,0.0
1788847200,1.06054,1.89,1.1645,-751.0,-28.0,93.3,34.0,1954.8,786.9,585.1,582.8,1154.0,0.0
1788848100,1.14885,1.98,1.2529,-950.0,-12.0,92.2,0.0,1954.9,787.0,585.1,582.8,1302.0,0.0
1788849000,1.12072,1.95,1.2247,-732.0,-20.0,91.1,24.0,1955.0,787.1,585.1,582.8,1223.0,0.0
1788849900,1.10777,1.94,1.2118,0.0,88.0,90.0,0.0,1955.1,787.2,585.1,582.8,810.0,0.0
1788850800,0.99981,1.83,1.1038,229.0,16.0,90.0,0.0,1955.4,787.5,585.1,582.8,787.0,0.0
1788851700,0.9085,1.74,1.0125,0.0,72.0,90.0,0.0,1955.5,787.6,585.1,582.8,584.0,0.0
1788852600,0.91151,1.74,1.0155,-851.0,-481.0,88.8,475.0,1955.7,787.8,585.1,582.8,799.0,0.0
1788853500,0.78871,1.62,0.8927,-130.0,34.0,88.8,0.0,1955.8,787.9,585.1,582.8,807.0,0.0
1788854400,0.66837,1.5,0.7724,0.0,-529.0,88.8,529.0,1956.0,788.1,585.1,582.8,745.0,0.0
1788855300,0.77319,1.6,0.8772,-1471.0,-1891.0,86.6,1886.0,1956.2,788.2,585.1,582.9,809.0,0.0
1788856200,0.70521,1.54,0.8092,-160.0,10.0,86.6,50.0,1956.4,788.4,585.1,582.9,796.0,0.0
1788857100,0.6399,1.47,0.7439,0.0,-870.0,86.6,868.0,1956.7,788.6,585.1,583.0,778.0,0.0
1788858000,0.34116,1.17,0.4452,1000.0,43.0,87.7,0.0,1957.3,788.8,585.4,583.1,839.0,0.0
1788858900,0.7339,1.57,0.8379,0.0,-6592.0,82.2,5404.0,1957.7,789.0,585.4,583.3,702.0,0.0
1788859800,0.47535,1.31,0.5794,-2062.0,-2991.0,78.8,2961.0,1958.5,789.3,585.4,583.8,622.0,0.0
1788860700,0.2734,1.1,0.3774,0.0,-963.0,78.8,1006.0,1958.7,789.4,585.4,583.9,686.0,0.0
1788861600,0.11175,0.94,0.2157,724.0,-36.0,80.0,0.0,1959.3,789.7,585.6,584.0,606.0,0.0
1788862500,0.18141,1.01,0.2854,1333.0,-6.0,81.1,0.0,1959.6,789.9,585.7,584.0,630.0,0.0
1788863400,0.1362,0.97,0.2402,1199.0,-4.0,82.2,0.0,1960.2,790.1,586.1,584.0,645.0,0.0
1788864300,0.19648,1.03,0.3005,1849.0,5.0,84.4,0.0,1960.6,790.3,586.3,584.0,624.0,0.0
1788865200,0.189,1.02,0.293,2851.0,0.0,86.6,0.0,1961.4,790.5,586.9,584.0,635.0,0.0
1788866100,0.11164,0.94,0.2156,1850.0,-17.0,90.0,29.0,1962.1,790.7,587.4,584.0,807.0,0.0
1788867000,0.11175,0.94,0.2157,2252.0,-12.0,90.0,0.0,1963.0,791.0,588.0,584.0,774.0,0.0
1788867900,0.11175,0.94,0.2157,1633.0,52.0,90.0,0.0,1963.5,791.1,588.4,584.0,630.0,0.0
1788868800,0.15618,0.99,0.2602,1463.0,11.0,90.0,0.0,1964.4,791.4,589.0,584.0,656.0,0.0
1788869700,0.11175,0.94,0.2157,1397.0,28.0,90.0,39.0,1964.7,791.5,589.2,584.0,592.0,0.0
1788870600,0.21244,1.04,0.3164,0.0,-1241.0,100.0,1235.0,1965.4,791.7,589.5,584.2,712.0,0.0
1788871500,0.22271,1.05,0.3267,0.0,-777.0,100.0,805.0,1965.8,791.9,589.5,584.4,686.0,0.0
1788872400,0.27909,1.11,0.3831,0.0,-871.0,100.0,856.0,1966.3,792.1,589.5,584.7,613.0,0.0
1788873300,0.15573,0.99,0.2597,0.0,-1099.0,100.0,1072.0,1966.6,792.3,589.5,584.8,653.0,0.0
1788874200,0.22573,1.06,0.3297,0.0,-1085.0,100.0,1090.0,1967.2,792.5,589.5,585.2,702.0,0.0
1788875100,0.53273,1.36,0.6367,0.0,-544.0,100.0,554.0,1967.5,792.7,589.5,585.3,768.0,0.0
1788876000,0.63845,1.47,0.7424,0.0,-569.0,100.0,583.0,1967.9,792.9,589.5,585.5,807.0,0.0
1788876900,0.13441,0.97,0.2384,0.0,-553.0,100.0,536.0,1968.2,793.1,589.5,585.6,694.0,0.0
1788877800,0.40613,1.24,0.5101,0.0,-518.0,100.0,537.0,1968.6,793.4,589.5,585.8,653.0,0.0
1788878700,0.77185,1.6,0.8759,0.0,-74.0,100.0,79.0,1968.9,793.5,589.5,585.9,785.0,0.0
1788879600,0.9834,1.81,1.0874,0.0,96.0,100.0,0.0,1969.1,793.7,589.5,585.9,701.0,0.0
1788880500,1.02281,1.85,1.1268,-161.0,19.0,100.0,0.0,1969.2,793.8,589.5,585.9,663.0,0.0
1788881400,1.10955,1.94,1.2136,0.0,61.0,98.8,0.0,1969.4,794.0,589.5,585.9,642.0,0.0
1788882300,1.1714,2.0,1.2754,-223.0,-43.0,98.8,0.0,1969.5,794.1,589.5,585.9,723.0,0.0
1788883200,1.25613,2.09,1.3601,0.0,88.0,98.8,35.0,1969.7,794.3,589.5,585.9,451.0,0.0
1788884100,1.27969,2.11,1.3837,-135.0,-20.0,98.8,0.0,1969.8,794.4,589.5,585.9,422.0,0.0
